Mileage,Dealer_Name,Rating,Review_Count,Price,Year,Variant
60198,Mercedes-Benz of Coconut Creek,4.6,1373,47282,2019,GLS 550 Base 4MATIC
15520,Mercedes-Benz of Novi,4.6,790,62000,2022,AMG GLC 43 Base 4MATIC
24599,Fletcher Jones Imports,4.9,2438,97994,2019,AMG GT 63 4-Door
5712,Crown Eurocars of Dublin,4.9,2705,95286,2023,AMG GLE 53 Base
8224,Mercedes-Benz of Littleton,4.7,1156,62799,2022,AMG GLC 43 Base 4MATIC
14510,Mercedes-Benz of South Bay,4.5,1883,58118,2022,GLE 350 Base 4MATIC
9343,Mercedes-Benz of South Orlando,4.4,1404,187188,2022,Maybach GLS 600 4MATIC
47432,Mercedes-Benz of Kansas City,4.7,774,35684,2020,GLB 250 Base 4MATIC
21543,Aristocrat Motors,4.7,1375,62977,2021,E-Class E 450 4MATIC
9998,Mercedes-Benz Of Tampa,4,3522,42846,2022,C-Class C 300
7902,Loeber Motors Inc.,4.2,542,78598,2019,AMG GT 53 Base
18797,Mercedes-Benz of North Haven,4.8,1251,83997,2021,AMG GT 43 Base
6486,Fletcher Jones Imports,4.9,2438,131993,2021,AMG GT 63 4-Door
19421,Euro Motorcars Bethesda,4.6,604,134881,2019,Maybach S 650 Base
16210,Volkswagen of Quad Cities,4.8,180,63400,2021,GLE 450 AWD 4MATIC
3533,Mercedes-Benz of Kansas City,4.7,774,217394,2022,AMG G 63 4MATIC
26761,Mercedes-Benz of Edison,5,4034,179987,2020,AMG G 63 Base
3692,Mercedes-Benz Of Henderson,4.9,1716,139994,2020,Maybach S 650 Base
15245,Mercedes-Benz of Omaha,4.3,420,34250,2020,A-Class A 220 4MATIC
2422,Mercedes-Benz of Naperville,4.7,907,54077,2023,EQB 300 Base 4MATIC
1368,Mercedes-Benz of Union,4.6,920,189995,2022,Maybach GLS 600 4MATIC
25842,Mercedes-Benz of South Orlando,4.4,1404,27557,2019,GLA 250 Base 4MATIC
4107,Autobahn Motors,4.8,1007,45999,2022,EQB 300 Base 4MATIC
41793,Mercedes-Benz of Edison,5,4034,48739,2020,GLE 350 Base 4MATIC
7836,Silver Star Motors,4.6,790,35699,2020,GLB 250 Base 4MATIC
